HOOD_ID,join,Assault_2014,Auto Theft_2014,Bike Theft_2014,Break and Enter_2014,Homicide_2014,Robbery_2014,Shooting (Non-Fatal)_2014,Theft From Motor Vehicle_2014,Theft Over_2014,Assault_2015,Auto Theft_2015,Bike Theft_2015,Break and Enter_2015,Homicide_2015,Robbery_2015,Shooting (Non-Fatal)_2015,Theft From Motor Vehicle_2015,Theft Over_2015,Assault_2016,Auto Theft_2016,Bike Theft_2016,Break and Enter_2016,Homicide_2016,Robbery_2016,Shooting (Non-Fatal)_2016,Theft From Motor Vehicle_2016,Theft Over_2016,Assault_2017,Auto Theft_2017,Bike Theft_2017,Break and Enter_2017,Homicide_2017,Robbery_2017,Shooting (Non-Fatal)_2017,Theft From Motor Vehicle_2017,Theft Over_2017,Assault_2018,Auto Theft_2018,Bike Theft_2018,Break and Enter_2018,Homicide_2018,Robbery_2018,Shooting (Non-Fatal)_2018,Theft From Motor Vehicle_2018,Theft Over_2018,Assault_2019,Auto Theft_2019,Bike Theft_2019,Break and Enter_2019,Homicide_2019,Robbery_2019,Shooting (Non-Fatal)_2019,Theft From Motor Vehicle_2019,Theft Over_2019,Assault_2020,Auto Theft_2020,Bike Theft_2020,Break and Enter_2020,Homicide_2020,Robbery_2020,Shooting (Non-Fatal)_2020,Theft From Motor Vehicle_2020,Theft Over_2020,Assault_2021,Auto Theft_2021,Bike Theft_2021,Break and Enter_2021,Homicide_2021,Robbery_2021,Shooting (Non-Fatal)_2021,Theft From Motor Vehicle_2021,Theft Over_2021,Assault_2022,Auto Theft_2022,Bike Theft_2022,Break and Enter_2022,Homicide_2022,Robbery_2022,Shooting (Non-Fatal)_2022,Theft From Motor Vehicle_2022,Theft Over_2022,Assault_2023,Auto Theft_2023,Bike Theft_2023,Break and Enter_2023,Homicide_2023,Robbery_2023,Shooting (Non-Fatal)_2023,Theft From Motor Vehicle_2023,Theft Over_2023,Assault_2024,Auto Theft_2024,Bike Theft_2024,Break and Enter_2024,Homicide_2024,Robbery_2024,Shooting (Non-Fatal)_2024,Theft From Motor Vehicle_2024,Theft Over_2024
12,12,26,10,31,50,0,7,0,59,4,15,16,5,20,0,3,0,35,2,22,13,2,18,0,10,0,43,1,33,9,3,14,0,10,0,30,1,21,16,5,32,0,3,1,24,3,16,10,9,26,0,14,1,16,2,44,27,1,12,0,16,0,16,7,30,26,1,11,0,8,0,23,0,43,36,2,13,0,12,0,41,2,44,53,1,16,0,3,0,22,1,13,14,0,5,0,0,0,4,0
120,120,277,46,23,130,0,52,3,105,5,313,32,20,116,2,53,6,97,18,282,51,8,87,1,47,2,107,17,271,43,17,106,0,60,0,109,7,325,48,12,76,3,32,7,137,14,300,70,6,75,2,42,3,124,12,198,54,6,56,1,41,3,107,6,273,44,12,53,2,15,3,142,17,271,74,7,78,1,20,4,121,13,306,128,12,59,0,26,6,89,8,83,39,2,13,0,3,1,24,2
121,121,171,21,14,59,0,37,3,34,3,158,18,15,69,1,37,11,74,6,134,11,4,58,0,30,2,75,10,161,14,10,75,0,32,6,57,2,140,16,12,68,0,33,3,59,5,148,12,9,50,0,26,2,54,5,149,23,9,40,1,16,7,49,5,163,26,12,32,0,19,3,66,5,163,18,8,38,0,12,2,58,7,188,25,5,30,0,27,2,50,5,45,6,1,2,0,5,2,9,3
122,122,141,14,10,73,0,17,0,79,3,134,18,17,83,1,26,0,107,4,202,14,20,79,0,21,0,89,6,165,12,15,84,1,16,0,56,7,201,24,8,76,1,22,0,92,11,213,27,4,58,0,30,2,89,5,147,22,14,47,0,21,0,90,5,141,30,13,42,0,15,2,67,4,153,41,6,35,1,15,0,68,7,194,68,6,34,0,8,1,50,6,50,27,0,9,0,2,1,8,1
123,123,77,19,5,44,0,28,0,41,3,110,12,3,58,1,20,2,55,4,113,10,6,63,0,26,0,57,4,124,20,9,34,0,36,0,69,5,142,25,0,52,1,16,2,64,3,137,18,4,45,1,30,1,107,3,111,18,5,38,0,24,1,87,10,93,33,2,30,1,15,0,71,3,138,45,3,21,0,14,4,80,5,185,63,3,24,1,19,3,47,1,25,26,0,6,0,4,0,11,2
124,124,189,23,2,47,0,58,0,28,5,216,9,7,27,0,52,0,48,3,191,10,7,45,0,23,1,35,3,182,20,10,32,0,47,1,67,4,193,19,12,36,2,23,1,60,18,191,22,4,33,1,21,1,64,8,164,28,8,26,0,21,1,72,10,176,36,8,32,1,17,1,61,3,199,48,4,38,0,13,2,90,6,252,46,9,38,0,21,3,63,8,42,6,1,7,0,3,0,15,4
125,125,75,7,0,27,0,21,1,13,3,79,16,3,43,0,15,0,27,5,82,10,0,14,0,8,0,16,3,74,10,4,27,0,11,0,21,1,65,5,2,16,0,4,0,24,1,58,11,2,18,0,11,1,27,2,69,10,3,15,0,1,1,34,0,69,7,1,15,0,9,0,41,5,60,13,3,11,0,8,2,47,0,91,31,5,15,0,4,1,27,1,13,11,0,2,0,1,1,5,1
126,126,139,49,7,84,0,38,1,76,8,180,45,4,84,0,46,4,93,11,208,45,4,70,0,56,10,57,10,216,41,5,93,1,36,6,54,6,208,74,2,70,0,37,8,67,11,177,60,0,55,2,38,6,79,7,156,77,7,73,0,27,6,116,9,201,49,12,44,3,24,5,104,7,229,67,11,73,0,26,3,76,8,237,107,16,61,4,32,2,92,23,47,20,3,15,0,6,0,13,2
128,128,105,27,1,82,0,28,0,77,18,101,27,5,63,0,28,0,63,8,135,25,2,58,0,37,4,51,14,114,33,8,88,0,34,5,81,16,108,35,5,93,1,30,5,67,9,102,56,6,98,1,32,3,52,10,114,58,9,89,2,15,0,61,8,95,39,7,36,1,12,3,75,4,127,77,9,53,0,30,3,76,13,171,140,13,70,0,18,5,56,9,26,26,0,16,0,6,0,10,1
129,129,84,19,5,49,1,45,0,67,1,72,27,6,63,0,39,1,44,8,86,19,2,63,0,26,0,50,5,70,32,1,72,0,22,0,95,9,88,43,1,80,0,47,0,65,4,78,43,1,73,0,39,2,71,4,65,62,1,22,0,24,2,61,4,63,49,2,24,0,9,0,35,4,79,55,0,32,0,9,1,49,6,79,146,3,48,0,19,1,29,5,17,48,0,5,0,12,0,8,1
